Mapped Region,Geographical Region,Institution(s),Contributor Name(s),Type of Data,Reference
Mesoamerica,Colombia  - Islas de Providencia y Santa Catalina,"Universidad de Costa Rica, San Pedro",J. Katherine Bernal-Sotelo,Existing Maps,"Bernal-Sotelo, J. K. (2015). Cambio Espacio-Temporal (2000-2012) del Complejo
Arrecifal de las Islas de Providencia y Santa Catalina, Caribe colombiano. M.Sc. thesis, Universidad de Costa Rica, San Pedro."
Mesoamerica,Honduras - Roatan Island,University of Georgia,Dr Deepak R. Mishra,Existing point data,"Mishra, D., Narumalani, S., Rundquist, D., & Lawson, M. (2006). Benthic Habitat Mapping in Tropical Marine Environments Using QuickBird Multispectral Data. Photogrammetric Engineering & Remote Sensing, 72, 1037-1048. https://doi.org/10.14358/PERS.72.9.1037 "
Mesoamerica,"Colombia - Varadero, Arena",José Benito Vives de Andréis Marine and Coastal Research Institute (INVEMAR),"Millán et al. (2018), Sierra - Esgrijas et al. (2020)",Existing Maps,"1. Millán, S., Morales, D., Rincón, N., Mejía, K., Chasqui,  L., Ricaurte, C., Bejarano,  M., Briseño, F. & Alonso, D. (2018). Convenio Interadministrativo No. 659 de 2017. Anexo 2.5.1. Cartografía de hábitats bentónicos de los ecosistemas marinos en el sector de Varadero y norte de Barú, bahía de Cartagena. ITF. 73 p. 

2. Sierra-Escrigas, S. L., Peluffo, D. R. P. & García-Urueña, R. (2020) Shallow coral reef community mapping and update on its ecological units using aerial images at Isla Arena, Colombian Caribbean, International Journal of Remote Sensing, 41:21, 8198-8215. 

En: Atlas de Areas Coralinas de Colombia Fase II (WFS). https://areas-coralinas-de-colombia-invemar.hub.arcgis.com/datasets/atlas-de-areas-coralinas-de-colombia-fase-ii-wfs"
Mesoamerica,Belize - Yucatan Peninsula,Wildlife Conservation Society – Belize Program,"Dr. Emily Darling, Myles Phillips",Existing point data,WCS Belize. 2015-2020. Large Atoll Monitoring Program (LAMP) Reef Survey Data.
Mesoamerica,Belize,Wildlife Conservation Society ,"Dr. Emily Darling, Myles Phillips",New georeferenced phototransects,Ground truth data collected by WCS team for the Allen Coral Atlas
Mesoamerica,Colombia,Reef Life Surveys,Prof. Graham Edgar,Existing point data,"Edgar, G.J. & Stuart-Smith, R.D. (2020). Reef Life Survey (RLS): Survey Locations. Institute for Marine and Antarctic Studies (IMAS). Data accessed at https://catalogue-rls.imas.utas.edu.au/geonetwork/srv/en/metadata.show?uuid=4972fa20-195b-41e4-bee8-8175d6ac792b on [25/05/2020].   Associated data paper:  Edgar, G.J. & Stuart-Smith, R.D. (2020). Systematic global assessment of reef fish communities by the Reef Life Survey program. Scientific Data, 1(1), 1-8. Article 140007. doi:10.1038/sdata.2014.7 ISSN 2052-4463 (2014) "
Mesoamerica,Belize,ASU Center for Global Discovery and Conservation Science; UQ Remote Sensing Research Centre,"Greg Asner; Chris Roelfsema, Stuart Phinn",,Allen Coral Atlas Partnership
Mesoamerica,Colombia,Reef Check,"Dr. Jan Freiwald, Dr. Mary Donovan",Existing point data,"These data were contributed by Reef Check Foundation, its chapters worldwide, and the volunteers who did the data collection"
Mesoamerica,Guatemala,Reef Check,"Dr. Jan Freiwald, Dr. Mary Donovan",Existing point data,"These data were contributed by Reef Check Foundation, its chapters worldwide, and the volunteers who did the data collection"
Mesoamerica,Honduras,Reef Check,"Dr. Jan Freiwald, Dr. Mary Donovan",Existing point data,"These data were contributed by Reef Check Foundation, its chapters worldwide, and the volunteers who did the data collection"
Mesoamerica,Mexico ,Reef Check,"Dr. Jan Freiwald, Dr. Mary Donovan",Existing point data,"These data were contributed by Reef Check Foundation, its chapters worldwide, and the volunteers who did the data collection"
Mesoamerica,Panama,Reef Check,"Dr. Jan Freiwald, Dr. Mary Donovan",Existing point data,"These data were contributed by Reef Check Foundation, its chapters worldwide, and the volunteers who did the data collection"
Mesoamerica,Colombia - Oceanic Caribbean reefs,José Benito Vives de Andréis Marine and Coastal Research Institute (INVEMAR),Millán & García- Valencia (2021),Existing Maps,"Millan, S y García-Valencia. C. (2021). Delimitación ecológica de fondos someros para los atolones Serrana, Roncador y Quitasueño de la Reserva  de la Biosfera Seaflower, Caribe colombiano. Boletín de Investigaciones Marinas y Costeras, 50 (in press).
 
 En: Atlas de Areas Coralinas de Colombia Fase II (WFS). https://areas-coralinas-de-colombia-invemar.hub.arcgis.com/datasets/atlas-de-areas-coralinas-de-colombia-fase-ii-wfs"
Mesoamerica,Colombia - Oceanic Caribbean Reefs,José Benito Vives de Andréis Marine and Coastal Research Institute (INVEMAR),INVEMAR-ANH (2012),Existing Maps,"INVEMAR – ANH. 2012. Línea base ambiental en el Área de Régimen Común Jamaica – Colombia como aporte al aprovechamiento sostenible de los recursos marinos compartidos.
 
 En: Atlas de Areas Coralinas de Colombia Fase II (WFS). https://areas-coralinas-de-colombia-invemar.hub.arcgis.com/datasets/atlas-de-areas-coralinas-de-colombia-fase-ii-wfs"
Mesoamerica,Colombia - Oceanic Reefs,José Benito Vives de Andréis Marine and Coastal Research Institute (INVEMAR),Díaz et al. (2000),Existing Maps,"Díaz, J., L. Barrios, M. Cendales, J. Garzón-Ferreira, J. Geister, M. López-Victoria, G. Ospina, F. Parra-Velandia, J. Pinzón., B. Vargas-Ángel, F. Zapata y S. Zea. 2000. Áreas coralinas de Colombia. INVEMAR, Serie Publicaciones Especiales No. 5, Santa Marta. 176pp. 
 
En: Atlas de Areas Coralinas de Colombia Fase II (WFS). https://areas-coralinas-de-colombia-invemar.hub.arcgis.com/datasets/atlas-de-areas-coralinas-de-colombia-fase-ii-wfs"
Northeast Asia,Taiwan - Hengchun Peninsula,"Institute of Oceanography, National Taiwan University, Taiwan","Dr. Lauriane Ribas-Deulofeu, Assoc. Prof. Vianney Denis",Existing point data,"Ribas-Deulofeu, L., Denis, V., Château, P. A., & Chen, C. A. (2021). Impacts of heat stress and storm events on the benthic communities of Kenting National Park (Taiwan). PeerJ, 9, e11744. https://doi.org/10.7717/peerj.11744"
Northeast Asia,"Taiwan - North Coast, Penghu Archipelago, Green Island, Kenting","Institute of Oceanography, National Taiwan University, Taiwan","Assoc. Prof. Vianney Denis, Dr. Lauriane Ribas-Deulofeu",Existing point data,"Ribas-Deulofeu, L., Denis, V., De Palmas, S., Kuo, C. Y., Hsieh, H. J., & Chen, C. A. (2016). Structure of Benthic Communities along the Taiwan Latitudinal Gradient. PLOS ONE, 11(8), e0160601. https://doi.org/10.1371/journal.pone.0160601"
Northeast Asia,"Taiwan - North Coast, Green Island, Kenting","Institute of Oceanography, National Taiwan University, Taiwan","Assoc. Prof. Vianney Denis, Yu-Ting Vicky Lin",Existing point data,"Lin, Y., & Denis, V. (2019). Acknowledging differences: number, characteristics, and distribution of marine benthic communities along Taiwan coast. Ecosphere, 10. https://doi.org/10.1002/ecs2.2803"
Northeast Asia,Taiwan - North coast,"Institute of Oceanography, National Taiwan University, Taiwan","Assoc. Prof.  Vianney Denis, Yu-Ting Vicky Lin, Wanchien Victoria Hsiao",Existing point data,"Hsiao, W. V., Lin, Y. V., Lin, H. T., & Denis, V. (2021). Learning from differences: Abiotic determinism of benthic communities in Northern Taiwan. Mar Environ Res, 170, 105361.https://doi.org/10.1016/j.marenvres.2021.105361"
Northeast Asia,Japan - Okinawa,Okinawa Churashima Foundation,Okinawa Churashima Foundation,Existing point data,Coral Reef monitoring Program at Okinawa Churashima Foundation http://sango.churashima.okinawa/monitoring_en/moat.html
Northeast Asia,Japan - Okinawa,Okinawa Prefectural Government,Okinawa Prefectural Government,Existing point data,"Okinawa Prefectural Government (2014) Okinawa Prefectural Government
SangoPlafo Data. Conservation Division, Department of Environmental Affairs, Okinawa
Prefectural Government, (September) 2021. Available at (https://www.okinawa-sango-info.com/eng/index.html#Area01) """
Northeast Asia,Taiwan - Kenting National Park,"Biodiversity Research center, Academia Sinica, ARC Centre of Excellence for Coral Reef Studies, James Cook University, Australia, Department of life science, Tunghai University","Dr. Chao-Yang Kuo, Dr Chaolun Allen Chen, Nien-Yun Cheng, Chieh Wei/Dr. Chao-Yang Kuo/Dr. Colin Kuo-Chang Wen, Kah-Leng Cherh",Existing point data,"Ho, M. J. et al. 2016. Investigating current status of benthic ecology in the Kenting National Park Marine Zones, Taiwan. J. Natl. Park 26(1): 46-56; Bang, A. et al. 2021. Quantifying coral reef resilience to climate change and human development: an evaluation of multiple empirical frameworks.  Front. Mar. Sci. 7:610306. doi.org/10.3389/fmars.2020.610306"
Northeast Asia,Taiwan,"Biodiversity Research center, Academia Sinica","Bang, A. H. et al. (2021)",Published paper or report,"Bang, A. H., Kuo, C. Y., Wen, C. K. C., Cherh, K. L., Ho, M. J., Cheng, N. Y., Chen, Y. C. & Chen, C. A. (2020). Quantifying coral reef resilience to climate change and human development: an evaluation of multiple empirical frameworks. Frontiers in Marine Science."
Northeast Asia,Japan,Japan Fisheries Research and Education Agency and Ministry of environment,Soyoka Muko,Existing point data,"Ministry of the Environment. 2021. Report of the coral reef monitoring survey of the Sekisei Lagoon and its adjacent waters, Iriomote National Park in FY2020. Biodiversity Center of Japan, Yamanashi, Japan (in Japanese)."
Northeast Asia,Taiwan,Reef Check,"Dr. Jan Freiwald, Dr. Mary Donovan",Existing point data,"These data were contributed by Reef Check Foundation, its chapters worldwide, and the volunteers who did the data collection"
Northeast Asia,Japan,Reef Check,"Dr. Jan Freiwald, Dr. Mary Donovan",Existing point data,"These data were contributed by Reef Check Foundation, its chapters worldwide, and the volunteers who did the data collection"
Northeast Asia,Japan,Reef Life Surveys,Prof. Graham Edgar,Existing point data,"Edgar, G.J. & Stuart-Smith, R.D. (2020). Reef Life Survey (RLS): Survey Locations. Institute for Marine and Antarctic Studies (IMAS). Data accessed at https://catalogue-rls.imas.utas.edu.au/geonetwork/srv/en/metadata.show?uuid=4972fa20-195b-41e4-bee8-8175d6ac792b on [25/05/2020].   Associated data paper:  Edgar, G.J. & Stuart-Smith, R.D. (2020). Systematic global assessment of reef fish communities by the Reef Life Survey program. Scientific Data, 1(1), 1-8. Article 140007. doi:10.1038/sdata.2014.7 ISSN 2052-4463 (2014) "
"Northern Caribbean, Florida and Bahamas",Bahamas,Reef Check,"Dr. Jan Freiwald, Dr. Mary Donovan",Existing point data,"These data were contributed by Reef Check Foundation, its chapters worldwide, and the volunteers who did the data collection."
"Northern Caribbean, Florida and Bahamas",Cuba,Wildlife Conservation Society Cuba Program; Fundacion Antonio Núñez Jiménez de la Naturaleza y el Hombre; Empresa Nacional para la Proteccion de la Flora y la Fauna,"Reynaldo Estrada, Natalia Rossi, Mirza Pérez Posada",New georeferenced phototransects,"These data were collected as part of the Allen Coral Atlas's partnership with the WCS MACMON monitoring program, generously funded by the Paul M. Angell Family Foundation, and the John D. and Catherine T. MacArthur Foundation.
"
"Northern Caribbean, Florida and Bahamas",United States of America - Florida,National Oceanic and Atmospheric Administration (NOAA) ,National Oceanic and Atmospheric Administration (NOAA) ,Existing point data,"National Oceanic and Atmospheric Administration; Florida Fish and Wildlife Commission; National Park Service; University of Miami; Nova Southeastern University (2016). National Coral Reef Monitoring Program: Assessment of coral communities in the Florida Reef Tract from 2014-05-01 to 2014-10-01 (NCEI Accession 0156879). NOAA National Centers for Environmental Information. Dataset. https://accession.nodc.noaa.gov/0156879. Accessed 28 January 2020.

NOAA National Centers for Coastal Ocean Science (NCCOS); Southeast Fisheries Science Center (SEFSC); University of Miami Rosenstiel School of Marine and Atmospheric Science (UM-RSMAS); Nova Southeastern University (NSU); Florida Fish and Wildlife Conservation Commission (FWC); Florida Department of Environmental Protection (FDEP); National Park Service (NPS); Florida Keys National Marine Sanctuary (FKNMS); Broward and Miami-Dade counties (2018). National Coral Reef Monitoring Program: Assessment of coral communities in the Florida Keys Reef Tract from 2016-05-01 to 2016-12-15 (NCEI Accession 0169401). NOAA National Centers for Environmental Information. Dataset. https://accession.nodc.noaa.gov/0169401. Accessed 28 January 2020.

NOAA National Centers for Coastal Ocean Science; NOAA Southeast Fisheries Science Center (2020). National Coral Reef Monitoring Program: Assessment of coral communities in the Florida Reef Tract from 2018-06-05 to 2018-12-17 (NCEI Accession 0208322). NOAA National Centers for Environmental Information. Dataset. https://accession.nodc.noaa.gov/0208322. Accessed 28 January 2020."
"Northern Caribbean, Florida and Bahamas",Jamaica,Duwatech,"Bernadette Charpentier, Frederic Charpentier",New georeferenced phototransects,Allen Coral Atlas Partnership
"Northern Caribbean, Florida and Bahamas",Jamaica,AGRRA,"Judith Lang, Patricia Kramer, Lynnette Roth",,"Judith Lang, Patricia Kramer, Lynnette Roth shared the Atlantic and Gulf Rapid Reef Assessment (AGRRA) International Collaboration (https://www.agrra.org) and Ocean Research and Education Foundation database for the Caribbean region."
"Northern Caribbean, Florida and Bahamas","Jamaica, Bahamas",TNC,"Steve Schill, Joseph Pollock",Existing point data,These data were contributed by The Nature Conservancy’s Caribbean Division and included GPS-referenced drop cam videos and previously mapped areas using high resolution satellite imagery. https://caribbeanscienceatlas.tnc.org/
"Northern Caribbean, Florida and Bahamas",United States of America - Florida,Florida Fish and Wildlife Conservation Commission,Florida Fish and Wildlife Conservation Commission,Existing Maps,Florida Fish and Wildlife Research Institute (FWRI). 2014. Unified Florida Coral Reef Tract Map v2. GIS Metadata. Online linkage: https://ocean.floridamarine.org/integratedreefmap/unifiedreeftract.htm
"Northern Caribbean, Florida and Bahamas",Cuba,Reef Check,"Dr. Jan Freiwald, Dr. Mary Donovan",Existing point data,"These data were contributed by Reef Check Foundation, its chapters worldwide, and the volunteers who did the data collection"
"Northern Caribbean, Florida and Bahamas",Jamaica,Reef Check,"Dr. Jan Freiwald, Dr. Mary Donovan",Existing point data,"These data were contributed by Reef Check Foundation, its chapters worldwide, and the volunteers who did the data collection"
"Northern Caribbean, Florida and Bahamas",Turks and Caicos Islands,Reef Check,"Dr. Jan Freiwald, Dr. Mary Donovan",Existing point data,"These data were contributed by Reef Check Foundation, its chapters worldwide, and the volunteers who did the data collection"
"Northern Caribbean, Florida and Bahamas",United States of America - Florida,"Millennium Coral Reef Mapping Project, Institute for Marine Remote Sensing, University of South Florida (IMaRS/USF) and Institut de Recherche pour le Développement (IRD/UR 128, Centre de Nouméa).",Serge Andréfouët et al.,Existing point data,"Andrefouet, S., Muller-Karger, F. E., Robinson, J. A., Kranenburg, C. J., Torres-Pulliza, D., Spraggins, S. A., & Murch, B. (2006, June). Global assessment of modern coral reef extent and diversity for regional science and management applications: a view from space. In Proceedings of the 10th International Coral Reef Symposium (Vol. 2, pp. 1732-1745). Japanese Coral Reef Society Okinawa, Japan."
